subject,stage,cca_corr1,cca_corr2,Xc1_mean,Xc1_std,Xc1_25p,Xc1_median,Xc1_75p,Xc2_mean,Xc2_std,Xc2_25p,Xc2_median,Xc2_75p,Yc1_mean,Yc1_std,Yc1_25p,Yc1_median,Yc1_75p,Yc2_mean,Yc2_std,Yc2_25p,Yc2_median,Yc2_75p
apples-160219.edf,N2,0.8095029095461798,0.6871708859641636,-5.1187973411330385e-18,1.1146962976376156,-0.640754103194619,-0.015463260403993047,0.6237764105639967,1.8246035683716152e-17,0.9018724509429259,-0.4857660209024252,0.008042869268211945,0.4978966739887679,2.361251676716208e-17,0.9695761699260219,-0.5094126589424048,-0.0038311372355146218,0.5082381033099861,-6.192093557822223e-19,1.029524447470184,-0.47802944547446174,0.012450019860199713,0.5003538785475026
apples-160219.edf,N3,0.876642507174817,0.7612259600988556,3.2266191865434503e-18,1.0838732521432983,-0.6648978372771952,-0.010071120216622285,0.6565718000914488,9.319437331346242e-18,0.8240017109280802,-0.4687957783167434,0.018501473126423446,0.4986044816698627,-1.5103323851905512e-18,0.9294903215455749,-0.5543488542411071,-0.006194767461091301,0.5486088372576273,-1.93597151192607e-17,1.0656100476931634,-0.57799484639083,0.04260598460232012,0.6349530055965098
apples-160219.edf,R,0.5439470019712893,0.376414139659513,7.120138387326884e-18,0.9604677359611915,-0.5701709368460605,-0.01695380476285217,0.5467438374050938,-2.2419609302244156e-17,0.9561651826862847,-0.5561075668320512,-0.013097861028420064,0.5401465715962065,-4.648685393378709e-18,0.9521411184284834,-0.37099348583534086,-0.0028815480993412117,0.3736138044545492,-1.2666196593984394e-17,0.771826394087457,-0.35894655028921385,-0.010337536574815714,0.3481313744197293
apples-240090.edf,W,0.7825122179655211,0.6300977467551101,-9.050273328109677e-18,1.1504511283050889,-0.28805071569345597,0.0024318876890429657,0.29135829652926076,9.037436060977606e-18,0.929515592557027,-0.28766228179324793,-0.02908574347083484,0.26644183290531004,5.288954058413031e-18,0.9541706719711947,-0.21090344744304826,0.0005821781281002809,0.20764304335049683,1.8485664670181467e-18,1.035970493357988,-0.32011400510295157,0.0016859854442158465,0.3170321991492675
apples-240090.edf,N1,0.8285081577135327,0.7227222368079432,-4.102102392017073e-18,1.054403059680905,-0.3988355333358411,0.027534947020387418,0.4346703294133561,-1.8557129868648665e-18,1.0020335051730882,-0.4143147936408987,-0.0097477319317553,0.3925995450776646,-9.766910457183508e-18,0.9888298322345658,-0.36028491943170793,0.015113499456669765,0.38021361856266617,-1.1134277921189199e-17,1.005507614314642,-0.3571573909109887,-0.004902902130778674,0.3547455901929315
apples-240090.edf,N2,0.8665901331513762,0.6304130380858278,1.1106411877229438e-18,1.0759272997025917,-0.4600333074387757,0.023961367311627096,0.48693168549032684,-1.1748710395430658e-17,1.1387230428643087,-0.645308567127609,-0.0035746901343841424,0.6424088476545009,5.753924225552601e-19,1.0083298448197267,-0.43875774996920364,0.004601902074757023,0.4439521453275579,-1.1133174315487822e-17,0.9912325295902206,-0.5107190771131854,-0.013689831041879673,0.49285369726261613
apples-240090.edf,N3,0.8813315119568378,0.6627177132585469,-1.684249447727645e-17,1.175526296577032,-0.7504447284596593,0.01165398053500807,0.7806187099698286,1.8947806286936004e-17,1.1440713352341128,-0.7750085267960323,-0.039390556726711164,0.7361634573555313,-2.5263741715914674e-17,0.9789416774219291,-0.6534902945070284,-0.029903529062406835,0.636250397670553,1.4210854715202004e-17,1.018279620714511,-0.697129327281437,-0.05344520223829456,0.6439464762915611
apples-240090.edf,R,0.6031560009290604,0.3654035562449225,-6.781320144798149e-18,0.9346685839597061,-0.4839576155443552,0.04420805424007819,0.5364859963502107,-1.9546158064418194e-17,0.8825545392594386,-0.5152124389373485,0.007825595502069894,0.5264247622412476,-7.47939721852737e-18,1.0030004223988884,-0.44550283935549523,-0.007013854683852171,0.4298137147772879,-1.795055332446569e-18,0.7424195762581076,-0.3257924486657125,-0.006613628138042653,0.31621084081536405
apples-240022.edf,W,0.45343967354302367,0.40336613203408295,1.0684853169324814e-18,1.1073487121543257,-0.3768635001680377,-0.016809182252934377,0.38841417770409836,-2.2082029883271285e-18,0.9496422595646161,-0.368219377886296,0.0007881390207451905,0.3729133782434929,7.1232354462165435e-19,1.0000409596293625,-0.3008855065170781,-0.004602889249090355,0.3047386011808224,-9.687600206854499e-18,0.9998217501383051,-0.3335031163428024,0.001029457652567805,0.3670004396699118
apples-240022.edf,N1,0.4759227269310111,0.3101540469920687,1.0034489128288595e-17,1.1367842897522022,-0.6499592626673468,-0.00971427451059564,0.6422823411279268,-3.713882149436421e-18,0.8125120395436841,-0.4791470431481845,-0.004410296867560802,0.47149425168209325,1.1211719696411837e-18,1.101914963760926,-0.5534410945893178,-0.005486865449735947,0.5521096683027352,1.3566180832658322e-17,0.8743932009469247,-0.38983387987263773,-0.015159457724038063,0.37161968710783705
